month,Country,post_no,value_vacc
13/12/2020,Scotland,2,0.35
13/12/2020,United Kingdom,3,0.13
20/12/2020,Scotland,2,1.1
20/12/2020,United Kingdom,3,0.99
20/12/2020,United States,3,0.17
21/12/2020,United States,3,0.18
23/12/2020,United States,3,0.3
24/12/2020,Mexico,1,0
26/12/2020,United States,3,0.58
27/12/2020,Italy,1,0.01
27/12/2020,Mexico,1,0.01
27/12/2020,Scotland,2,1.73
27/12/2020,United Kingdom,3,1.48
28/12/2020,Italy,1,0.01
28/12/2020,Mexico,1,0.01
28/12/2020,Oman,1,0.03
28/12/2020,Poland,2,0.01
28/12/2020,Portugal,2,0.05
28/12/2020,Romania,2,0.01
28/12/2020,United States,3,0.64
29/12/2020,Italy,1,0.01
29/12/2020,Mexico,1,0.01
29/12/2020,Oman,1,0.07
29/12/2020,Poland,2,0.02
29/12/2020,Portugal,2,0.16
29/12/2020,Romania,2,0.01
30/12/2020,Italy,1,0.02
30/12/2020,Mexico,1,0.02
30/12/2020,Monaco,1,0
30/12/2020,Oman,1,0.1
30/12/2020,Poland,2,0.1
30/12/2020,Portugal,2,0.26
30/12/2020,Romania,2,0.03
30/12/2020,United States,3,0.84
31/12/2020,Italy,1,0.06
31/12/2020,Oman,1,0.13
31/12/2020,Poland,2,0.13
31/12/2020,Romania,2,0.05
01/01/2021,Italy,1,0.08
01/01/2021,Romania,2,0.06
02/01/2021,Italy,1,0.15
02/01/2021,Oman,1,0.14
02/01/2021,Poland,2,0.13
02/01/2021,Romania,2,0.07
02/01/2021,United States,3,1.26
03/01/2021,Italy,1,0.2
03/01/2021,Oman,1,0.17
03/01/2021,Poland,2,0.13
03/01/2021,Portugal,2,0.31
03/01/2021,Romania,2,0.07
03/01/2021,Scotland,2,2.12
03/01/2021,United Kingdom,3,2.06
04/01/2021,Italy,1,0.32
04/01/2021,Mexico,1,0.03
04/01/2021,Oman,1,0.21
04/01/2021,Poland,2,0.24
04/01/2021,Romania,2,0.13
04/01/2021,Slovakia,2,0
04/01/2021,Spain,3,0.18
04/01/2021,United States,3,1.36
05/01/2021,Italy,1,0.45
05/01/2021,Mexico,1,0.04
05/01/2021,Oman,1,0.25
05/01/2021,Poland,2,0.37
05/01/2021,Romania,2,0.22
05/01/2021,Slovakia,2,0.01
05/01/2021,Spain,3,0.3
05/01/2021,United Arab Emirates,3,8.35
05/01/2021,United States,3,1.45
06/01/2021,Italy,1,0.56
06/01/2021,Mexico,1,0.04
06/01/2021,Oman,1,0.27
06/01/2021,Poland,2,0.42
06/01/2021,Portugal,2,0.41
06/01/2021,Romania,2,0.3
06/01/2021,Slovakia,2,0.12
06/01/2021,United States,3,1.59
07/01/2021,Italy,1,0.71
07/01/2021,Mexico,1,0.05
07/01/2021,Oman,1,0.29
07/01/2021,Poland,2,0.5
07/01/2021,Romania,2,0.4
07/01/2021,Slovakia,2,0.25
07/01/2021,Spain,3,0.44
07/01/2021,United Arab Emirates,3,8.98
07/01/2021,United States,3,1.77
08/01/2021,Italy,1,0.87
08/01/2021,Mexico,1,0.05
08/01/2021,Oman,1,0.29
08/01/2021,Poland,2,0.53
08/01/2021,Portugal,2,0.69
08/01/2021,Romania,2,0.48
08/01/2021,Slovakia,2,0.38
08/01/2021,Spain,3,0.59
08/01/2021,United Arab Emirates,3,9.52
08/01/2021,United States,3,2
09/01/2021,Italy,1,1.01
09/01/2021,Mexico,1,0.06
09/01/2021,Oman,1,0.29
09/01/2021,Poland,2,0.53
09/01/2021,Romania,2,0.53
09/01/2021,Slovakia,2,0.41
09/01/2021,United Arab Emirates,3,10.32
10/01/2021,Italy,1,1.11
10/01/2021,Mexico,1,0.06
10/01/2021,Oman,1,0.31
10/01/2021,Poland,2,0.54
10/01/2021,Romania,2,0.56
10/01/2021,Scotland,2,3.04
10/01/2021,Slovakia,2,0.46
10/01/2021,United Arab Emirates,3,10.99
10/01/2021,United Kingdom,3,3.94
11/01/2021,Italy,1,1.24
11/01/2021,Mexico,1,0.07
11/01/2021,Oman,1,0.36
11/01/2021,Poland,2,0.68
11/01/2021,Romania,2,0.65
11/01/2021,Scotland,2,3.27
11/01/2021,Slovakia,2,0.54
11/01/2021,Spain,3,0.87
11/01/2021,United Arab Emirates,3,11.8
11/01/2021,United Kingdom,3,4.19
11/01/2021,United States,3,2.69
12/01/2021,Italy,1,1.38
12/01/2021,Mexico,1,0.07
12/01/2021,Oman,1,0.4
12/01/2021,Poland,2,0.82
12/01/2021,Romania,2,0.73
12/01/2021,Scotland,2,3.57
12/01/2021,Slovakia,2,0.73
12/01/2021,Spain,3,1.04
12/01/2021,United Arab Emirates,3,12.9
12/01/2021,United Kingdom,3,4.52
12/01/2021,United States,3,2.79
13/01/2021,Italy,1,1.53
13/01/2021,Mexico,1,0.15
13/01/2021,Oman,1,0.45
13/01/2021,Poland,2,0.98
13/01/2021,Romania,2,0.8
13/01/2021,Scotland,2,3.87
13/01/2021,Slovakia,2,0.86
13/01/2021,Spain,3,1.24
13/01/2021,Turkey,3,0
13/01/2021,United Arab Emirates,3,14.1
13/01/2021,United Kingdom,3,4.94
13/01/2021,United States,3,3.07
14/01/2021,Italy,1,1.68
14/01/2021,Mexico,1,0.26
14/01/2021,Oman,1,0.47
14/01/2021,Poland,2,1.08
14/01/2021,Romania,2,0.87
14/01/2021,Scotland,2,4.18
14/01/2021,Slovakia,2,0.99
14/01/2021,Spain,3,1.45
14/01/2021,Turkey,3,0.33
14/01/2021,United Arab Emirates,3,15.45
14/01/2021,United Kingdom,3,5.42
14/01/2021,United States,3,3.33
15/01/2021,Italy,1,1.83
15/01/2021,Mexico,1,0.32
15/01/2021,Poland,2,1.15
15/01/2021,Portugal,2,1.04
15/01/2021,Romania,2,0.95
15/01/2021,Scotland,2,4.49
15/01/2021,Slovakia,2,1.14
15/01/2021,Spain,3,1.64
15/01/2021,Turkey,3,0.73
15/01/2021,United Arab Emirates,3,16.84
15/01/2021,United Kingdom,3,5.93
15/01/2021,United States,3,3.67
16/01/2021,Italy,1,1.93
16/01/2021,Mexico,1,0.36
16/01/2021,Oman,1,0.49
16/01/2021,Poland,2,1.21
16/01/2021,Romania,2,1.02
16/01/2021,Scotland,2,4.83
16/01/2021,Slovakia,2,1.16
16/01/2021,Turkey,3,0.8
16/01/2021,United Arab Emirates,3,18.18
16/01/2021,United Kingdom,3,6.37
17/01/2021,Italy,1,1.99
17/01/2021,Mexico,1,0.37
17/01/2021,Oman,1,0.5
17/01/2021,Poland,2,1.24
17/01/2021,Romania,2,1.07
17/01/2021,Scotland,2,4.92
17/01/2021,Slovakia,2,1.16
17/01/2021,Turkey,3,0.84
17/01/2021,United Arab Emirates,3,19.04
17/01/2021,United Kingdom,3,6.65
18/01/2021,Italy,1,2.06
18/01/2021,Mexico,1,0.38
18/01/2021,Monaco,1,6.12
18/01/2021,Oman,1,0.52
18/01/2021,Poland,2,1.31
18/01/2021,Romania,2,1.22
18/01/2021,Scotland,2,5.28
18/01/2021,Slovakia,2,1.32
18/01/2021,Spain,3,1.92
18/01/2021,Turkey,3,0.99
18/01/2021,United Arab Emirates,3,19.93
18/01/2021,United Kingdom,3,6.96
19/01/2021,Italy,1,2.12
19/01/2021,Mexico,1,0.39
19/01/2021,Oman,1,0.55
19/01/2021,Poland,2,1.43
19/01/2021,Romania,2,1.4
19/01/2021,Scotland,2,5.75
19/01/2021,Slovakia,2,1.47
19/01/2021,Spain,3,2.07
19/01/2021,Turkey,3,1.13
19/01/2021,United Arab Emirates,3,20.88
19/01/2021,United Kingdom,3,7.47
19/01/2021,United States,3,4.7
20/01/2021,Italy,1,2.17
20/01/2021,Mexico,1,0.39
20/01/2021,Oman,1,0.58
20/01/2021,Poland,2,1.56
20/01/2021,Romania,2,1.6
20/01/2021,Scotland,2,6.21
20/01/2021,Slovakia,2,1.61
20/01/2021,Spain,3,2.19
20/01/2021,Turkey,3,1.25
20/01/2021,United Arab Emirates,3,21.85
20/01/2021,United Kingdom,3,8.01
20/01/2021,United States,3,4.94
21/01/2021,Italy,1,2.22
21/01/2021,Mexico,1,0.43
21/01/2021,Poland,2,1.7
21/01/2021,Romania,2,1.81
21/01/2021,Scotland,2,6.65
21/01/2021,Slovakia,2,1.75
21/01/2021,Spain,3,2.36
21/01/2021,Turkey,3,1.33
21/01/2021,United Arab Emirates,3,22.71
21/01/2021,United Kingdom,3,8.62
21/01/2021,United States,3,5.25
22/01/2021,Italy,1,2.27
22/01/2021,Mexico,1,0.48
22/01/2021,Poland,2,1.81
22/01/2021,Portugal,2,2.08
22/01/2021,Romania,2,2.01
22/01/2021,Scotland,2,7.06
22/01/2021,Slovakia,2,1.87
22/01/2021,Spain,3,2.49
22/01/2021,Turkey,3,1.43
22/01/2021,United Arab Emirates,3,23.65
22/01/2021,United Kingdom,3,9.32
22/01/2021,United States,3,5.71
23/01/2021,Italy,1,2.33
23/01/2021,Mexico,1,0.48
23/01/2021,Oman,1,0.6
23/01/2021,Poland,2,1.85
23/01/2021,Portugal,2,2.28
23/01/2021,Romania,2,2.18
23/01/2021,Scotland,2,7.49
23/01/2021,Slovakia,2,1.88
23/01/2021,Turkey,3,1.45
23/01/2021,United Arab Emirates,3,24.54
23/01/2021,United Kingdom,3,10.05
23/01/2021,United States,3,6.14
24/01/2021,Italy,1,2.38
24/01/2021,Mexico,1,0.49
24/01/2021,Oman,1,0.64
24/01/2021,Poland,2,1.87
24/01/2021,Romania,2,2.32
24/01/2021,Scotland,2,7.7
24/01/2021,Slovakia,2,1.88
24/01/2021,Spain,3,2.65
24/01/2021,Turkey,3,1.48
24/01/2021,United Arab Emirates,3,25.15
24/01/2021,United Kingdom,3,10.38
24/01/2021,United States,3,6.53
25/01/2021,Italy,1,2.5
25/01/2021,Mexico,1,0.5
25/01/2021,Oman,1,0.68
25/01/2021,Poland,2,2.05
25/01/2021,Romania,2,2.52
25/01/2021,Scotland,2,8.13
25/01/2021,Slovakia,2,2.04
25/01/2021,Spain,3,2.76
25/01/2021,Turkey,3,1.54
25/01/2021,United Arab Emirates,3,26
25/01/2021,United Kingdom,3,10.79
25/01/2021,United States,3,6.8
26/01/2021,Italy,1,2.63
26/01/2021,Mexico,1,0.51
26/01/2021,Oman,1,0.71
26/01/2021,Poland,2,2.39
26/01/2021,Portugal,2,2.58
26/01/2021,Romania,2,2.75
26/01/2021,Scotland,2,8.58
26/01/2021,Slovakia,2,2.17
26/01/2021,Spain,3,2.9
26/01/2021,Turkey,3,1.67
26/01/2021,United Arab Emirates,3,27.07
26/01/2021,United Kingdom,3,11.25
26/01/2021,United States,3,7.04
27/01/2021,Italy,1,2.74
27/01/2021,Mexico,1,0.51
27/01/2021,Oman,1,0.73
27/01/2021,Poland,2,2.66
27/01/2021,Portugal,2,2.73
27/01/2021,Romania,2,2.97
27/01/2021,Scotland,2,9.12
27/01/2021,Slovakia,2,2.3
27/01/2021,Spain,3,2.98
27/01/2021,Turkey,3,1.81
27/01/2021,United Arab Emirates,3,27.95
27/01/2021,United Kingdom,3,11.72
27/01/2021,United States,3,7.37
28/01/2021,Italy,1,2.9
28/01/2021,Mexico,1,0.51
28/01/2021,Morocco,1,0
28/01/2021,Poland,2,2.9
28/01/2021,Portugal,2,2.9
28/01/2021,Romania,2,3.17
28/01/2021,Scotland,2,9.57
28/01/2021,Slovakia,2,2.48
28/01/2021,Spain,3,3.15
28/01/2021,Turkey,3,2.01
28/01/2021,United Arab Emirates,3,29
28/01/2021,United Kingdom,3,12.33
28/01/2021,United States,3,7.83
29/01/2021,Italy,1,3.06
29/01/2021,Mexico,1,0.51
29/01/2021,Poland,2,3.02
29/01/2021,Portugal,2,3.1
29/01/2021,Romania,2,3.36
29/01/2021,Scotland,2,10.09
29/01/2021,Slovakia,2,2.7
29/01/2021,Turkey,3,2.29
29/01/2021,United Arab Emirates,3,30.4
29/01/2021,United Kingdom,3,13.05
29/01/2021,United States,3,8.34
30/01/2021,Italy,1,3.21
30/01/2021,Mexico,1,0.52
30/01/2021,Morocco,1,0.24
30/01/2021,Poland,2,3.06
30/01/2021,Portugal,2,3.24
30/01/2021,Romania,2,3.5
30/01/2021,Scotland,2,10.51
30/01/2021,Slovakia,2,2.72
30/01/2021,Turkey,3,2.32
30/01/2021,United Arab Emirates,3,31.49
30/01/2021,United Kingdom,3,13.95
30/01/2021,United States,3,8.84
31/01/2021,Italy,1,3.3
31/01/2021,Mexico,1,0.52
31/01/2021,Morocco,1,0.34
31/01/2021,Poland,2,3.11
31/01/2021,Portugal,2,3.3
31/01/2021,Romania,2,3.59
31/01/2021,Scotland,2,10.68
31/01/2021,Slovakia,2,2.73
31/01/2021,Spain,3,3.44
31/01/2021,Turkey,3,2.36
31/01/2021,United Arab Emirates,3,33.71
31/01/2021,United Kingdom,3,14.42
31/01/2021,United States,3,9.31
01/02/2021,Italy,1,3.44
01/02/2021,Mexico,1,0.52
01/02/2021,Morocco,1,0.54
01/02/2021,Poland,2,3.25
01/02/2021,Portugal,2,3.32
01/02/2021,Romania,2,3.75
01/02/2021,Scotland,2,11.33
01/02/2021,Slovakia,2,2.94
01/02/2021,Spain,3,3.58
01/02/2021,Turkey,3,2.53
01/02/2021,United Arab Emirates,3,34.79
01/02/2021,United Kingdom,3,14.94
01/02/2021,United States,3,9.63
02/02/2021,Italy,1,3.59
02/02/2021,Mexico,1,0.53
02/02/2021,Morocco,1,0.7
02/02/2021,Poland,2,3.55
02/02/2021,Romania,2,3.89
02/02/2021,Scotland,2,12.04
02/02/2021,Slovakia,2,3.17
02/02/2021,Spain,3,3.77
02/02/2021,Turkey,3,2.64
02/02/2021,United Kingdom,3,15.5
02/02/2021,United States,3,9.8
03/02/2021,Italy,1,3.75
03/02/2021,Mexico,1,0.53
03/02/2021,Morocco,1,0.84
03/02/2021,Poland,2,3.86
03/02/2021,Portugal,2,3.44
03/02/2021,Romania,2,4.01
03/02/2021,Scotland,2,12.87
03/02/2021,Slovakia,2,3.38
03/02/2021,Spain,3,3.99
03/02/2021,Turkey,3,2.78
03/02/2021,United Arab Emirates,3,36.04
03/02/2021,United Kingdom,3,16.19
03/02/2021,United States,3,10.13
04/02/2021,Italy,1,3.92
04/02/2021,Mexico,1,0.54
04/02/2021,Morocco,1,0.95
04/02/2021,Poland,2,4.14
04/02/2021,Portugal,2,3.57
04/02/2021,Romania,2,4.13
04/02/2021,Scotland,2,13.77
04/02/2021,Slovakia,2,3.64
04/02/2021,Spain,3,4.25
04/02/2021,Turkey,3,2.97
04/02/2021,United Arab Emirates,3,38.92
04/02/2021,United Kingdom,3,16.91
04/02/2021,United States,3,10.53
05/02/2021,Italy,1,4.09
05/02/2021,Mexico,1,0.54
05/02/2021,Morocco,1,1.11
05/02/2021,Poland,2,4.27
05/02/2021,Romania,2,4.27
05/02/2021,Scotland,2,14.58
05/02/2021,Slovakia,2,3.92
05/02/2021,Turkey,3,3.04
05/02/2021,United Kingdom,3,17.64
05/02/2021,United States,3,11.01
06/02/2021,Italy,1,4.22
06/02/2021,Mexico,1,0.55
06/02/2021,Morocco,1,1.26
06/02/2021,Poland,2,4.34
06/02/2021,Portugal,2,3.72
06/02/2021,Romania,2,4.37
06/02/2021,Scotland,2,15.56
06/02/2021,Slovakia,2,3.97
06/02/2021,Turkey,3,3.08
06/02/2021,United Arab Emirates,3,42.48
06/02/2021,United Kingdom,3,18.45
06/02/2021,United States,3,11.67
07/02/2021,Italy,1,4.28
07/02/2021,Mexico,1,0.55
07/02/2021,Poland,2,4.38
07/02/2021,Portugal,2,3.86
07/02/2021,Romania,2,4.45
07/02/2021,Scotland,2,16.06
07/02/2021,Slovakia,2,3.97
07/02/2021,Spain,3,4.5
07/02/2021,Turkey,3,3.1
07/02/2021,United Arab Emirates,3,43.62
07/02/2021,United Kingdom,3,18.86
07/02/2021,United States,3,12.32
08/02/2021,Italy,1,4.39
08/02/2021,Mexico,1,0.56
08/02/2021,Morocco,1,1.49
08/02/2021,Oman,1,0.77
08/02/2021,Portugal,2,3.88
08/02/2021,Romania,2,4.63
08/02/2021,Scotland,2,17.21
08/02/2021,Slovakia,2,4.18
08/02/2021,Spain,3,4.64
08/02/2021,Turkey,3,3.16
08/02/2021,United Arab Emirates,3,44.63
08/02/2021,United Kingdom,3,19.39
08/02/2021,United States,3,12.68
09/02/2021,Italy,1,4.5
09/02/2021,Mexico,1,0.56
09/02/2021,Morocco,1,1.67
09/02/2021,Oman,1,0.85
09/02/2021,Poland,2,4.69
09/02/2021,Portugal,2,3.89
09/02/2021,Romania,2,4.84
09/02/2021,Scotland,2,18.28
09/02/2021,Slovakia,2,4.45
09/02/2021,Spain,3,4.78
09/02/2021,Turkey,3,3.24
09/02/2021,United Arab Emirates,3,45.77
09/02/2021,United Kingdom,3,20
09/02/2021,United States,3,12.92
10/02/2021,Italy,1,4.62
10/02/2021,Mexico,1,0.56
10/02/2021,Morocco,1,2.02
10/02/2021,Oman,1,0.97
10/02/2021,Portugal,2,3.92
10/02/2021,Romania,2,5.05
10/02/2021,Scotland,2,19.44
10/02/2021,Slovakia,2,4.69
10/02/2021,Spain,3,4.96
10/02/2021,Turkey,3,3.31
10/02/2021,United Arab Emirates,3,47.37
10/02/2021,United Kingdom,3,20.67
10/02/2021,United States,3,13.39
11/02/2021,Italy,1,4.73
11/02/2021,Mexico,1,0.56
11/02/2021,Morocco,1,2.32
11/02/2021,Oman,1,1.13
11/02/2021,Poland,2,5.27
11/02/2021,Portugal,2,4.28
11/02/2021,Romania,2,5.25
11/02/2021,Scotland,2,20.63
11/02/2021,Slovakia,2,4.94
11/02/2021,Spain,3,5.18
11/02/2021,Turkey,3,3.37
11/02/2021,United Arab Emirates,3,48.45
11/02/2021,United Kingdom,3,21.42
11/02/2021,United States,3,13.87
12/02/2021,Italy,1,4.85
12/02/2021,Mexico,1,0.56
12/02/2021,Morocco,1,3.01
12/02/2021,Oman,1,1.32
12/02/2021,Poland,2,5.47
12/02/2021,Portugal,2,4.59
12/02/2021,Romania,2,5.45
12/02/2021,Scotland,2,21.74
12/02/2021,Slovakia,2,5.2
12/02/2021,Turkey,3,4.04
12/02/2021,United Arab Emirates,3,49.56
12/02/2021,United Kingdom,3,22.23
12/02/2021,United States,3,14.48
13/02/2021,Italy,1,4.94
13/02/2021,Mexico,1,0.56
13/02/2021,Morocco,1,3.76
13/02/2021,Oman,1,1.52
13/02/2021,Poland,2,5.57
13/02/2021,Portugal,2,4.96
13/02/2021,Romania,2,5.64
13/02/2021,Scotland,2,22.66
13/02/2021,Slovakia,2,5.27
13/02/2021,Turkey,3,4.4
13/02/2021,United Arab Emirates,3,50.61
13/02/2021,United Kingdom,3,22.98
13/02/2021,United States,3,15.14
14/02/2021,Italy,1,4.98
14/02/2021,Oman,1,1.75
14/02/2021,Poland,2,5.61
14/02/2021,Portugal,2,5.13
14/02/2021,Romania,2,5.79
14/02/2021,Scotland,2,23.24
14/02/2021,Slovakia,2,5.47
14/02/2021,Spain,3,5.48
14/02/2021,Turkey,3,4.54
14/02/2021,United Arab Emirates,3,51.11
14/02/2021,United Kingdom,3,23.33
14/02/2021,United States,3,15.81
15/02/2021,Italy,1,5.08
15/02/2021,Mexico,1,0.58
15/02/2021,Morocco,1,4.62
15/02/2021,Oman,1,2
15/02/2021,Poland,2,5.7
15/02/2021,Portugal,2,5.19
15/02/2021,Romania,2,5.98
15/02/2021,Scotland,2,23.89
15/02/2021,Slovakia,2,5.71
15/02/2021,Spain,3,5.61
15/02/2021,Turkey,3,4.96
15/02/2021,United Arab Emirates,3,51.43
15/02/2021,United Kingdom,3,23.75
16/02/2021,Italy,1,5.2
16/02/2021,Mexico,1,0.71
16/02/2021,Morocco,1,5.16
16/02/2021,Oman,1,2.13
16/02/2021,Poland,2,5.89
16/02/2021,Portugal,2,5.29
16/02/2021,Romania,2,6.22
16/02/2021,Scotland,2,24.54
16/02/2021,Slovakia,2,5.91
16/02/2021,Spain,3,5.75
16/02/2021,Turkey,3,5.49
16/02/2021,United Arab Emirates,3,52.56
16/02/2021,United Kingdom,3,24.3
16/02/2021,United States,3,16.51
17/02/2021,Italy,1,5.32
17/02/2021,Mexico,1,0.82
17/02/2021,Morocco,1,5.64
17/02/2021,Oman,1,2.42
17/02/2021,Poland,2,6.3
17/02/2021,Portugal,2,5.46
17/02/2021,Romania,2,6.45
17/02/2021,Scotland,2,25.24
17/02/2021,Slovakia,2,6.12
17/02/2021,Spain,3,5.95
17/02/2021,Turkey,3,6.19
17/02/2021,United Arab Emirates,3,53.43
17/02/2021,United Kingdom,3,25.04
17/02/2021,United States,3,16.83
18/02/2021,Italy,1,5.46
18/02/2021,Mexico,1,1.02
18/02/2021,Morocco,1,6.05
18/02/2021,Oman,1,2.73
18/02/2021,Poland,2,6.76
18/02/2021,Portugal,2,5.68
18/02/2021,Romania,2,6.65
18/02/2021,Slovakia,2,6.31
18/02/2021,Turkey,3,6.99
18/02/2021,United Arab Emirates,3,54.33
18/02/2021,United States,3,17.26
